Variant,seed,best_val_MAPE,test_MAPE,test_RMSE,test_R2
orig_wide_lr003_wd1e3_do15_mse,1,6.189376338635812,16.570933502435196,75.4017786036574,0.8772638634274376
orig_wide_lr003_wd1e3_do15_mse,2,6.332029199065989,15.685394360810163,72.47566308816032,0.8866050632765122
orig_wide_lr003_wd1e3_do15_mse,3,5.967656644023156,14.527806464325637,62.3615460968386,0.9160456862799278
orig_wide_lr003_wd1e3_do15_mse,4,6.028001871769758,15.069554340727894,65.24669873701177,0.9080977056869447
orig_wide_lr003_wd1e3_do15_mse,5,6.403430882224892,16.203836186386024,73.16710632608317,0.8844310873514958
orig_wide_lr003_wd1e3_do15_mse,6,5.736292455263298,14.975934993488622,67.56957448902041,0.9014375169175527
orig_compact_lr003_wd1e3_do15_mse,0,6.014094112907157,14.834570736306125,67.47516788880671,0.9017127428215259
orig_compact_lr003_wd1e3_do15_mse,1,6.906011457274042,16.402858993135645,77.1448453646952,0.8715236784198273
orig_compact_lr003_wd1e3_do15_mse,2,6.062828855739437,15.307404440328021,66.73326279161019,0.9038622426811379
orig_compact_lr003_wd1e3_do15_mse,3,6.275872392688591,15.631022770824595,72.52065650711518,0.8864642267704274
orig_compact_lr003_wd1e3_do15_mse,4,6.46714081591898,15.060698977446407,65.89819189659505,0.906253240326304
orig_compact_lr003_wd1e3_do15_mse,5,6.001178650701846,14.733261941399043,60.520336297095746,0.9209299645785713
orig_compact_lr003_wd1e3_do15_mse,6,6.074839350236242,15.381474169008143,64.8164809193094,0.9093056642256551
