Iteration,Training_Loss
905,12591465.0
906,20682988.0
907,17724016.0
908,37649320.0
909,6777817.5
910,24294516.0
911,1384395.5
912,9160488.0
913,39057216.0
914,34636740.0
915,18187350.0
916,33553726.0
917,6818355.0
918,48941130.0
919,8147717.5
920,26172664.0
921,12457545.0
922,20622638.0
923,17756756.0
924,37739580.0
925,265326480.0
926,38057748.0
927,22173082.0
928,34008456.0
929,62684830.0
930,50108900.0
931,26461522.0
932,43301508.0
933,10131465.0
934,59933244.0
935,14995238.0
936,38736916.0
937,28742576.0
938,28902550.0
939,28627582.0
940,44561372.0
941,10655523.0
942,28987626.0
943,3800929.8
944,11831748.0
945,44891380.0
946,39184030.0
947,20666048.0
948,38281228.0
949,8641737.0
950,58081452.0
951,10533486.0
952,28883436.0
953,14457219.0
954,21204278.0
955,18633298.0
956,38392476.0
957,8654171.0
958,25663156.0
959,1618470.5
960,9194287.0
961,39869990.0
962,37095730.0
963,21329296.0
964,33871624.0
965,5619938.5
966,48284850.0
967,7918946.5
968,27265368.0
969,14365465.0
970,21375964.0
971,17251558.0
972,37128570.0
973,6292170.0
974,24961458.0
975,1839814.0
976,9431462.0
977,38714164.0
978,34148190.0
979,17295162.0
980,32251762.0
981,6800801.5
982,46100556.0
983,7805689.5
984,25242168.0
985,12217137.0
986,20389806.0
987,17197998.0
988,37363220.0
989,6388494.5
990,23662086.0
991,1315893.8
992,8946567.0
993,38690336.0
994,33669036.0
995,17428130.0
996,32298996.0
997,6248127.5
998,47066056.0
999,7802604.5
1000,25255702.0
1001,12311220.0
1002,20474700.0
1003,17196004.0
1004,37298924.0
1005,6232625.0
1006,23509806.0
1007,1271723.4
1008,8800199.0
1009,38354820.0
1010,33425914.0
1011,17203850.0
1012,31521000.0
1013,5955020.5
1014,45803870.0
1015,7663205.5
1016,24633308.0
1017,12132125.0
1018,20300618.0
1019,16833060.0
1020,36925640.0
1021,6102213.5
1022,23134788.0
1023,1283008.6
1024,8806468.0
1025,38246876.0
1026,33305336.0
1027,17111860.0
1028,31343324.0
1029,5932923.0
1030,45614750.0
1031,7633409.0
1032,24667478.0
1033,12166616.0
1034,20331232.0
1035,16830676.0
1036,36978950.0
1037,6077017.5
