"Year","Month","estimate","set","rho","saved_old","difference"
2011,8,38.9519616896249,"old",0,38.9519616896249,-4.2632564145606e-14
2011,9,33.5801858675042,"old",0,33.5801858675042,-1.4210854715202e-14
2012,1,38.3322423380927,"old",0,38.3322423380927,-2.1316282072803e-14
2012,10,34.30355280596,"old",0,34.30355280596,-2.8421709430404e-14
2012,11,32.7110470730985,"old",0,32.7110470730984,5.6843418860808e-14
2012,12,35.9403883964189,"old",0,35.9403883964189,-7.105427357601e-15
2012,2,37.849118334681,"old",0,37.849118334681,1.4210854715202e-14
2012,3,37.9967734699162,"old",0,37.9967734699162,-4.2632564145606e-14
2012,4,37.9247616326346,"old",0,37.9247616326346,2.1316282072803e-14
2012,5,39.6361796464693,"old",0,39.6361796464693,7.105427357601e-15
2012,6,44.054969566281,"old",0,44.054969566281,2.1316282072803e-14
2012,7,44.6772384463298,"old",0,44.6772384463298,-4.2632564145606e-14
2012,8,38.283040602378,"old",0,38.2830406023781,-4.9737991503207e-14
2012,9,33.1110943666381,"old",0,33.1110943666381,2.8421709430404e-14
2013,1,38.6598074655354,"old",0,38.6598074655354,-2.8421709430404e-14
2013,10,32.408200446948,"old",0,32.408200446948,-1.4210854715202e-14
2013,11,36.9096909339997,"old",0,36.9096909339997,2.8421709430404e-14
2013,12,36.9530643104017,"old",0,36.9530643104017,-4.2632564145606e-14
2013,2,38.482854913421,"old",0,38.482854913421,4.2632564145606e-14
2013,3,38.9224580300009,"old",0,38.9224580300009,-2.1316282072803e-14
2013,4,37.6740779868614,"old",0,37.6740779868615,-4.9737991503207e-14
2013,5,40.2919060960009,"old",0,40.2919060960009,-2.8421709430404e-14
2013,6,44.9133973922323,"old",0,44.9133973922323,-2.1316282072803e-14
2013,7,44.2024921071675,"old",0,44.2024921071675,-4.2632564145606e-14
2013,8,43.4207795351011,"old",0,43.4207795351011,-4.2632564145606e-14
2013,9,35.4384949539802,"old",0,35.4384949539802,7.105427357601e-15
2014,1,36.9706561174853,"old",0,36.9706561174853,-2.1316282072803e-14
2014,10,34.3308299240178,"old",0,34.3308299240178,-1.4210854715202e-14
2014,11,36.4040758302433,"old",0,36.4040758302433,-2.8421709430404e-14
2014,12,38.3119244000526,"old",0,38.3119244000526,-1.4210854715202e-14
2014,2,40.5507147863867,"old",0,40.5507147863867,-7.105427357601e-15
2014,3,39.1688663366842,"old",0,39.1688663366842,2.8421709430404e-14
2014,4,40.0036708920944,"old",0,40.0036708920944,2.8421709430404e-14
2014,5,41.4698345946414,"old",0,41.4698345946414,-1.4210854715202e-14
2014,6,46.1984845714102,"old",0,46.1984845714102,-7.105427357601e-15
2014,7,46.8767165086491,"old",0,46.8767165086491,-7.105427357601e-15
2014,8,45.246495148809,"old",0,45.246495148809,3.5527136788005e-14
2014,9,36.2432135115929,"old",0,36.2432135115929,1.4210854715202e-14
2015,1,40.4351121581914,"old",0,40.4351121581914,-7.105427357601e-15
2015,10,37.0888753321751,"old",0,37.0888753321751,7.105427357601e-15
2015,11,37.3910899332173,"old",0,37.3910899332173,-7.105427357601e-15
2015,12,39.3148406835065,"old",0,39.3148406835066,-5.6843418860808e-14
2015,2,41.862716517406,"old",0,41.862716517406,0
2015,3,43.9230828008522,"old",0,43.9230828008522,-1.4210854715202e-14
2015,4,42.7193714359559,"old",0,42.7193714359559,-3.5527136788005e-14
2015,5,46.041704675894,"old",0,46.041704675894,-1.4210854715202e-14
2015,6,46.5310407805877,"old",0,46.5310407805877,3.5527136788005e-14
2015,7,49.1340168659524,"old",0,49.1340168659524,2.1316282072803e-14
2015,8,46.788206762691,"old",0,46.788206762691,0
2015,9,36.1709420535705,"old",0,36.1709420535705,-2.8421709430404e-14
2016,1,43.1070227934286,"old",0,43.1070227934286,2.1316282072803e-14
2016,10,39.9716502349646,"old",0,39.9716502349646,-3.5527136788005e-14
2016,11,40.9267349449318,"old",0,40.9267349449318,-4.2632564145606e-14
2016,12,43.3617276249856,"old",0,43.3617276249856,0
2016,2,40.7569701187678,"old",0,40.7569701187678,-2.8421709430404e-14
2016,3,43.8900106497481,"old",0,43.8900106497481,-2.8421709430404e-14
2016,4,42.2166914608195,"old",0,42.2166914608195,3.5527136788005e-14
2016,5,44.5682496789465,"old",0,44.5682496789465,2.8421709430404e-14
2016,6,50.4854512449744,"old",0,50.4854512449744,3.5527136788005e-14
2016,7,54.0219604993,"old",0,54.0219604993,1.4210854715202e-14
2016,8,47.0831215225129,"old",0,47.0831215225129,-2.1316282072803e-14
2016,9,37.7821101296772,"old",0,37.7821101296772,2.1316282072803e-14
2017,1,47.2013571295342,"old",0,47.2013571295342,-4.2632564145606e-14
2017,10,38.6022442401824,"old",0,38.6022442401824,-4.9737991503207e-14
2017,11,40.7389327951698,"old",0,40.7389327951698,2.8421709430404e-14
2017,12,42.9463579031858,"old",0,42.9463579031858,0
2017,2,40.8153403533238,"old",0,40.8153403533238,3.5527136788005e-14
2017,3,43.9273773193896,"old",0,43.9273773193896,-3.5527136788005e-14
2017,4,52.2413131786613,"old",0,52.2413131786613,-3.5527136788005e-14
2017,5,44.9968825849721,"old",0,44.9968825849721,4.2632564145606e-14
2017,6,51.1416973972573,"old",0,51.1416973972573,7.105427357601e-15
2017,7,54.3687012648094,"old",0,54.3687012648094,-2.1316282072803e-14
2017,8,47.9333732806726,"old",0,47.9333732806726,-1.4210854715202e-14
2017,9,44.7173920794819,"old",0,44.7173920794819,-2.8421709430404e-14
2018,1,43.1685360084075,"old",0,43.1685360084075,4.9737991503207e-14
2018,10,41.7322318492964,"old",0,41.7322318492964,4.9737991503207e-14
2018,11,45.0810192438188,"old",0,45.0810192438188,2.8421709430404e-14
2018,12,50.1191760622214,"old",0,50.1191760622214,-1.4210854715202e-14
2018,2,44.5410170166975,"old",0,44.5410170166975,2.8421709430404e-14
2018,3,50.0020448720278,"old",0,50.0020448720278,2.1316282072803e-14
2018,4,48.301590594633,"old",0,48.301590594633,7.105427357601e-15
2018,5,55.2542531197527,"old",0,55.2542531197527,4.2632564145606e-14
2018,6,58.7092885457592,"old",0,58.7092885457592,7.105427357601e-15
2018,7,59.7034984216858,"old",0,59.7034984216858,-3.5527136788005e-14
2018,8,50.9941444695278,"old",0,50.9941444695278,4.2632564145606e-14
2018,9,38.8205455481799,"old",0,38.8205455481799,2.1316282072803e-14
2019,1,49.1027900586767,"old",0,49.1027900586767,7.105427357601e-15
2019,10,52.0346633211114,"old",0,52.0346633211114,0
2019,11,49.149651590035,"old",0,49.149651590035,-2.8421709430404e-14
2019,12,49.2605741469367,"old",0,49.2605741469367,4.9737991503207e-14
2019,2,48.4212107182351,"old",0,48.4212107182351,7.105427357601e-15
2019,3,46.6341346430487,"old",0,46.6341346430487,7.105427357601e-15
