run_name,run_id,state,variant,created_at,batch_size,learning_rate,hidden1_dim,hidden2_dim,hidden3_dim,embedding_dim,size_ensemble,num_epochs,patience,lr_milestone,lr_gamma,optimizer,weight_decay,dropout_rate,dataset_variant_cfg,test_rmse,test_mae,test_mape,test_r2,val_rmse,val_mae,val_mape,train_rmse
my1xnhs2,UnVuOnYxOm15MXhuaHMyOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGT,2025-12-11T06:40:24Z,16.0,0.000908172940708244,256.0,16.0,32.0,4.0,3.0,12000.0,4000.0,300.0,0.3,adamw,0.001,0.1,MGT,214.68836975097656,195.9479217529297,266.071044921875,-3.6115665435791016,175.10293579101562,164.30538940429688,261.4076232910156,183.7660675048828
eov80sls,UnVuOnYxOmVvdjgwc2xzOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGT,2025-12-11T06:32:58Z,16.0,0.004767697559783859,200.0,20.0,16.0,4.0,3.0,18000.0,8000.0,1200.0,0.5,adamw,0.0,0.3,,217.25894165039065,139.01522827148438,115.09812927246094,-3.72266149520874,167.6057891845703,109.68089294433594,110.52279663085938,136.93242390950522
iuaxsuqn,UnVuOnYxOml1YXhzdXFuOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T06:28:51Z,32.0,0.0007761877098169674,256.0,0.0,20.0,4.0,3.0,30000.0,4000.0,800.0,0.5,adamw,0.0001,0.2,AGTwRD,1040.4189453125,842.8789672851562,964.2062377929688,-61.275291442871094,693.2060546875,590.3595581054688,802.2466430664062,794.5391031901041
gyp2j3xv,UnVuOnYxOmd5cDJqM3h2Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AllVar,2025-12-11T06:11:14Z,16.0,0.003450925562443932,128.0,20.0,32.0,4.0,5.0,30000.0,4000.0,1200.0,0.5,adamw,0.001,0.2,AllVar,195.5037384033203,133.12274169921875,124.07618713378906,-4.863786697387695,153.57716369628906,107.09031677246094,124.45437622070312,136.03758239746094
kctbpqss,UnVuOnYxOmtjdGJwcXNzOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-11T05:43:36Z,64.0,0.0007553147550663479,200.0,20.0,32.0,4.0,3.0,12000.0,12000.0,300.0,0.3,adamw,0.0,0.0,MGTwRD,212.5198516845703,150.93409729003906,143.93545532226562,-3.9492454528808594,161.34091186523438,113.13584899902344,131.40896606445312,142.4914093017578
m3buaqkw,UnVuOnYxOm0zYnVhcWt3Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-11T05:35:39Z,64.0,0.005726089063091819,128.0,20.0,20.0,4.0,5.0,30000.0,12000.0,1200.0,0.5,adamw,0.0,0.0,MGTwRD,226.58624267578125,146.34165954589844,99.78864288330078,-4.626094818115234,163.48846435546875,108.85645294189452,73.20310974121094,144.6672821044922
rsby7qwa,UnVuOnYxOnJzYnk3cXdhOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T05:13:26Z,64.0,0.01989629267805224,256.0,32.0,20.0,4.0,5.0,30000.0,8000.0,1200.0,0.5,adamw,0.0,0.0,LagRD,139.386962890625,99.11872863769533,145.74705505371094,0.5390733480453491,157.88938903808594,120.88327026367188,162.55990600585938,210.53984527587892
uhy3m24e,UnVuOnYxOnVoeTNtMjRlOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T04:50:38Z,64.0,0.0031500207564098327,256.0,32.0,32.0,4.0,5.0,30000.0,12000.0,800.0,0.3,adamw,0.0,0.0,LagRD,137.51808166503906,116.06788635253906,125.91512298583984,0.5513505339622498,145.22003173828125,124.0004425048828,141.74655151367188,186.14977264404297
1l08f5nk,UnVuOnYxOjFsMDhmNW5rOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-11T04:45:32Z,64.0,0.014879576306503444,128.0,20.0,32.0,4.0,5.0,12000.0,4000.0,300.0,0.5,adamw,0.0,0.0,MGTwRD,224.37240600585935,143.41172790527344,70.56649017333984,-4.516694068908691,175.09652709960938,113.18155670166016,63.1000862121582,134.60348510742188
6e9sl80g,UnVuOnYxOjZlOXNsODBnOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T04:40:42Z,64.0,0.0005855238862025824,256.0,16.0,32.0,4.0,5.0,30000.0,12000.0,300.0,0.3,adamw,0.0001,0.3,AGTwRD,213.36146545410156,189.45111083984375,247.46046447753903,-1.6189744472503662,178.3500518798828,164.41812133789062,266.3946533203125,175.38986206054688
x95dwq22,UnVuOnYxOng5NWR3cTIyOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGT,2025-12-11T04:32:45Z,16.0,0.011651669336961167,128.0,32.0,20.0,4.0,3.0,18000.0,4000.0,300.0,0.3,adamw,0.0,0.0,MGT,268.7642517089844,207.24549865722656,290.7044677734375,-6.227273464202881,159.7234649658203,134.2520294189453,223.9530334472656,448.35300699869794
jiqn15ar,UnVuOnYxOmppcW4xNWFyOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T04:26:41Z,64.0,0.0015899128247127455,256.0,0.0,32.0,4.0,3.0,30000.0,4000.0,300.0,0.5,adamw,0.0001,0.0,LagRD,603.58984375,483.9846801757813,609.7208862304688,-7.643136978149414,573.7335205078125,467.7968444824219,666.041015625,619.9789632161459
xuhpkpmo,UnVuOnYxOnh1aHBrcG1vOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T04:14:20Z,64.0,0.0035687923045613365,200.0,16.0,32.0,4.0,5.0,30000.0,4000.0,300.0,0.3,adamw,0.0,0.0,LagRD,110.16576385498048,95.94805908203124,146.37632751464844,0.7120739817619324,108.91262817382812,99.0927505493164,167.0758056640625,206.7124206542969
m59ijtr0,UnVuOnYxOm01OWlqdHIwOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,Macros,2025-12-11T03:59:02Z,64.0,0.00761659799073336,256.0,20.0,20.0,4.0,5.0,30000.0,12000.0,1200.0,0.1,adamw,0.001,0.1,Macros,148.63380432128906,105.835205078125,122.37893676757812,0.4413329362869262,118.83275604248048,92.92739868164062,140.52593994140625,128.53157806396484
nhr2b1sf,UnVuOnYxOm5ocjJiMXNmOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T03:48:20Z,64.0,0.001055187674603854,200.0,0.0,16.0,4.0,3.0,30000.0,4000.0,1200.0,0.5,adamw,0.0,0.3,AGTwRD,122.60738372802734,100.9961929321289,80.4249267578125,0.13516634702682495,96.6622085571289,83.0205078125,87.27597045898438,130.33795928955078
9u3essba,UnVuOnYxOjl1M2Vzc2JhOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-11T03:42:40Z,64.0,0.0008929274899116111,256.0,20.0,32.0,4.0,3.0,18000.0,4000.0,300.0,0.5,adamw,0.0,0.0,MGTwRD,204.33477783203125,159.0800323486328,190.25778198242188,-3.575352191925049,155.93740844726562,133.79342651367188,201.9610595703125,142.07596842447916
uold60uq,UnVuOnYxOnVvbGQ2MHVxOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,Macros,2025-12-11T03:41:43Z,16.0,0.0020629154144110907,128.0,20.0,32.0,4.0,3.0,12000.0,12000.0,1200.0,0.1,adamw,0.0,0.3,Macros,4192.02587890625,2904.77783203125,7485.31103515625,-443.3916015625,3930.525634765625,2743.253662109375,7563.43017578125,4047.9763387044272
xzezcw1u,UnVuOnYxOnh6ZXpjdzF1Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,LagRD,2025-12-11T03:41:05Z,64.0,0.013488058193247556,128.0,20.0,32.0,4.0,3.0,30000.0,4000.0,300.0,0.5,adamw,0.0,0.2,LagRD,219.61801147460935,150.8316650390625,142.9718780517578,-0.14425671100616455,172.7783203125,129.8629150390625,158.71189880371094,142.24800618489584
dskf41ok,UnVuOnYxOmRza2Y0MW9rOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGTwRD,2025-12-11T03:01:08Z,16.0,0.00476004929263365,200.0,32.0,32.0,4.0,3.0,12000.0,4000.0,300.0,0.5,adamw,0.0,0.1,MGTwRD,231.8531951904297,184.40638732910156,187.70095825195312,-4.890690326690674,199.20619201660156,146.23069763183594,142.79080200195312,184.3418426513672
coq1whv5,UnVuOnYxOmNvcTF3aHY1Om5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T02:59:53Z,64.0,0.0054416240467690434,200.0,16.0,32.0,4.0,5.0,30000.0,12000.0,1200.0,0.3,adamw,0.001,0.3,AGTwRD,211.80364990234375,171.01759338378906,200.32208251953125,-1.5808706283569336,173.16250610351562,151.31703186035156,221.80865478515625,156.0965148925781
k8ee5sul,UnVuOnYxOms4ZWU1c3VsOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,AGTwRD,2025-12-11T02:56:38Z,64.0,0.0007290228846339869,200.0,0.0,20.0,4.0,3.0,30000.0,4000.0,1200.0,0.5,adamw,0.001,0.2,AGTwRD,141.10108947753906,121.68061065673828,128.84359741210938,-0.14540743827819824,75.15159606933594,60.30811309814453,60.626953125,151.09840138753256
kif74nfl,UnVuOnYxOmtpZjc0bmZsOm5vd2Nhc3RpbmctcmQtbWxwOmVwZmxfc3RpcA==,finished,MGT,2025-12-11T02:52:32Z,16.0,0.007171147650301737,256.0,32.0,32.0,4.0,5.0,12000.0,4000.0,800.0,0.3,adamw,0.0,0.0,MGT,167.73292541503906,132.58531188964844,179.8638458251953,-1.8149330615997312,102.43116760253906,87.46725463867188,154.1888885498047,228.3953430175781
