draw,delta,Year,Month,NN,Sax,Mosley,date
13,0.015012914313941325,2013,7,42.599314433936,44.2024921071675,39.0005855114321,2013-07-01
13,0.015012914313941325,2013,8,39.774936220052304,43.4207795351011,39.7265644463031,2013-08-01
13,0.015012914313941325,2013,9,40.23538174588178,35.4384949539802,38.1497664012638,2013-09-01
13,0.015012914313941325,2013,10,40.58043582487755,32.408200446948,38.7856571306215,2013-10-01
13,0.015012914313941325,2013,11,41.745160505935836,36.9096909339997,38.7432044559623,2013-11-01
13,0.015012914313941325,2013,12,38.82328728428533,36.9530643104017,36.3590566179765,2013-12-01
13,0.015012914313941325,2014,1,38.10518592763258,36.9706561174853,41.1461640241047,2014-01-01
13,0.015012914313941325,2014,2,39.79265702695698,40.5507147863867,43.5595357498045,2014-02-01
13,0.015012914313941325,2014,3,40.31379452736097,39.1688663366842,40.333382756249,2014-03-01
13,0.015012914313941325,2014,4,48.30661030274993,40.0036708920944,42.6719933564589,2014-04-01
13,0.015012914313941325,2014,5,43.58512501237932,41.4698345946414,39.8435210040486,2014-05-01
13,0.015012914313941325,2014,6,39.00479741310431,46.1984845714102,39.4011763106138,2014-06-01
13,0.015012914313941325,2014,7,46.420730902138196,46.8767165086491,42.6564183389162,2014-07-01
13,0.015012914313941325,2014,8,43.27727999776185,45.246495148809,39.9498938636086,2014-08-01
13,0.015012914313941325,2014,9,33.64834778462538,36.2432135115929,40.7307648665664,2014-09-01
13,0.015012914313941325,2014,10,39.022990716101816,34.3308299240178,39.2466831726946,2014-10-01
13,0.015012914313941325,2014,11,36.50204159758396,36.4040758302433,36.6245713400252,2014-11-01
13,0.015012914313941325,2014,12,33.795921413671635,38.3119244000526,35.6113778389766,2014-12-01
13,0.015012914313941325,2015,1,35.56520659952861,40.4351121581914,40.6233282606909,2015-01-01
13,0.015012914313941325,2015,2,38.216207880181244,41.862716517406,41.4446414962576,2015-02-01
13,0.015012914313941325,2015,3,42.393375061250445,43.9230828008522,43.6444823896855,2015-03-01
13,0.015012914313941325,2015,4,44.22739221052092,42.7193714359559,45.7748387074028,2015-04-01
13,0.015012914313941325,2015,5,43.14004424611369,46.041704675894,43.5386171480685,2015-05-01
13,0.015012914313941325,2015,6,46.06825758308428,46.5310407805877,43.4375246680306,2015-06-01
13,0.015012914313941325,2015,7,44.038385771380504,49.1340168659524,42.0698780049277,2015-07-01
13,0.015012914313941325,2015,8,48.13090746905815,46.788206762691,45.2061093006287,2015-08-01
13,0.015012914313941325,2015,9,43.20583523034283,36.1709420535705,41.2773982459624,2015-09-01
13,0.015012914313941325,2015,10,43.68390236540852,37.0888753321751,42.3842275681599,2015-10-01
13,0.015012914313941325,2015,11,33.63511962926084,37.3910899332173,39.6766045736136,2015-11-01
13,0.015012914313941325,2015,12,45.096365953869984,39.3148406835066,38.3233496365718,2015-12-01
13,0.015012914313941325,2016,1,40.47009249700065,43.1070227934286,45.647177617306,2016-01-01
13,0.015012914313941325,2016,2,41.94397509023158,40.7569701187678,46.1285673135061,2016-02-01
13,0.015012914313941325,2016,3,43.37618573284068,43.8900106497481,46.2872775254006,2016-03-01
13,0.015012914313941325,2016,4,43.02234523566,42.2166914608195,46.5805730083508,2016-04-01
13,0.015012914313941325,2016,5,46.172587734962796,44.5682496789465,46.2536316765223,2016-05-01
13,0.015012914313941325,2016,6,44.40897445673903,50.4854512449744,46.625375489312,2016-06-01
13,0.015012914313941325,2016,7,44.58982034489057,54.0219604993,45.6341686153499,2016-07-01
13,0.015012914313941325,2016,8,45.00909938652423,47.0831215225129,44.1001014359143,2016-08-01
13,0.015012914313941325,2016,9,45.0799863032153,37.7821101296772,43.8158226054356,2016-09-01
13,0.015012914313941325,2016,10,45.30607238199153,39.9716502349646,43.4356693793418,2016-10-01
13,0.015012914313941325,2016,11,46.37449700951909,40.9267349449318,38.2789087698635,2016-11-01
13,0.015012914313941325,2016,12,42.41806472948164,43.3617276249856,35.3844274667541,2016-12-01
13,0.015012914313941325,2017,1,36.235786254446836,47.2013571295342,41.8731281449768,2017-01-01
13,0.015012914313941325,2017,2,34.70922475563108,40.8153403533238,42.8029557323669,2017-02-01
13,0.015012914313941325,2017,3,40.51400715249152,43.9273773193896,44.8845499619526,2017-03-01
13,0.015012914313941325,2017,4,56.20120901127106,52.2413131786613,54.7276013029209,2017-04-01
13,0.015012914313941325,2017,5,58.792085971502075,44.9968825849721,46.6569288934822,2017-05-01
13,0.015012914313941325,2017,6,45.862829589896414,51.1416973972573,45.7481121069065,2017-06-01
13,0.015012914313941325,2017,7,49.64437881768042,54.3687012648094,44.422450512367,2017-07-01
13,0.015012914313941325,2017,8,38.59480907190255,47.9333732806726,45.5407340032456,2017-08-01
13,0.015012914313941325,2017,9,47.27933780463714,44.7173920794819,45.3115237366154,2017-09-01
13,0.015012914313941325,2017,10,63.25243186248226,38.6022442401824,50.0025453561715,2017-10-01
13,0.015012914313941325,2017,11,42.527482765181205,40.7389327951698,46.6683804450848,2017-11-01
13,0.015012914313941325,2017,12,36.01738646951743,42.9463579031858,40.9920593305498,2017-12-01
13,0.015012914313941325,2018,1,40.369588469449994,43.1685360084075,48.7125272080325,2018-01-01
13,0.015012914313941325,2018,2,48.01855020707453,44.5410170166975,50.925620185986,2018-02-01
