Year,Month,NN,Sax,Mosley,date
2019,4,40.593434550545766,46.7104632536931,54.4785751133591,2019-04-01
2019,5,49.87056601926569,53.6810072768872,53.8152679590093,2019-05-01
2019,6,38.535586056749715,64.3453719534517,57.1244135901273,2019-06-01
2019,7,56.92723070393342,62.2324027328319,52.3677447435473,2019-07-01
2019,8,61.84343833455761,58.1899328060781,51.7154098748861,2019-08-01
2019,9,72.34113362627875,52.0832504781083,50.7945917148856,2019-09-01
2019,10,67.55217906273059,52.0346633211114,51.40141739702,2019-10-01
2019,11,63.58498837006619,49.149651590035,49.3466538919055,2019-11-01
2019,12,62.00381527167564,49.2605741469367,48.3364235567478,2019-12-01
2020,1,40.53173108226721,64.8575094903009,56.3847411440971,2020-01-01
2020,2,50.724705961801284,57.1789485216787,56.7782221948502,2020-02-01
2020,3,61.034206430624685,48.8417392938259,58.9501577729054,2020-03-01
2020,4,74.22841228126315,41.4356584765189,53.7960459898724,2020-04-01
2020,5,58.88025407171193,55.8991122379014,55.0128236229421,2020-05-01
2020,6,37.498442982263626,62.281890575743,58.5546511138948,2020-06-01
2020,7,50.47855561173886,64.4119585243446,60.8714668704801,2020-07-01
2020,8,54.68929291293427,55.0352772661056,57.0970500308191,2020-08-01
2020,9,74.53567453176288,48.1622180077298,56.7261777202564,2020-09-01
2020,10,62.91855437504364,58.144948248659,53.4167229920692,2020-10-01
2020,11,49.08729007388044,55.2957635785278,49.372735857701,2020-11-01
2020,12,57.35614773269104,60.4182438266475,55.0024727380952,2020-12-01
2021,1,54.93710635459031,57.1981276158798,65.494543345899,2021-01-01
2021,2,64.30569727412721,57.0099001603085,68.0164089378144,2021-02-01
2021,3,57.54084510404774,60.0515078197742,62.7570050625515,2021-03-01
2021,4,64.63706088397245,57.1901593642567,58.0122687177382,2021-04-01
2021,5,58.08781091296023,61.9078286688688,58.8769278343267,2021-05-01
2021,6,54.5488883252896,64.4759300431366,58.723047507006,2021-06-01
2021,7,51.657132546829104,66.4385154023582,55.5378475709677,2021-07-01
2021,8,61.902356382355755,63.9056310116516,58.1546681900062,2021-08-01
2021,9,67.34780238334399,52.9951935425598,58.064936723569,2021-09-01
2021,10,71.29563436134838,53.703170278717,57.2116986094352,2021-10-01
2021,11,55.48503448494151,57.5208445648773,57.8179049496696,2021-11-01
2021,12,47.96753129853476,57.3160918399525,51.0456428633576,2021-12-01
