Country,Lag,MAE,RMSE,MAPE,Model,Sub-Model,Variation
ES,1,456.237151,525.5793118,4.64082772,ElasticNet,Macros,Related
ES,2,383.0061075,473.045877,4.007911394,ElasticNet,Macros,Related
ES,3,304.2197601,402.3469982,3.129767852,ElasticNet,Macros,Related
SE,1,1079.783307,1428.951635,8.113291418,ElasticNet,Macros,Related
SE,2,1147.936578,1493.474181,8.637369464,ElasticNet,Macros,Related
SE,3,1149.435699,1495.308196,8.648647049,ElasticNet,Macros,Related
CH,1,770.1827786,1067.280596,8.906696154,ElasticNet,Macros,Related
CH,2,775.9913802,1040.901208,8.905412358,ElasticNet,Macros,Related
CH,3,757.8080114,1020.280643,8.704363263,ElasticNet,Macros,Related
TR,1,273.0863641,312.087963,2.927561448,ElasticNet,Macros,Related
TR,2,303.5466239,378.1422101,3.224355583,ElasticNet,Macros,Related
TR,3,278.0029443,346.2486284,3.076567774,ElasticNet,Macros,Related
GB,1,816.0879686,1138.484198,2.139601179,ElasticNet,Macros,Related
GB,2,725.1242431,947.1696668,1.874724833,ElasticNet,Macros,Related
GB,3,3210.841164,5007.092461,6.0210247,ElasticNet,Macros,Related
US,1,7315.195896,9205.663446,2.246587808,ElasticNet,Macros,Related
US,2,7192.627098,9056.394082,2.209716475,ElasticNet,Macros,Related
US,3,6995.718027,9207.027083,2.177665153,ElasticNet,Macros,Related
AR,1,176.3423866,204.4861004,6.960822043,ElasticNet,Macros,Related
AR,2,155.1691954,217.8908797,4.512642864,ElasticNet,Macros,Related
AR,3,160.6761621,217.8724547,4.758475579,ElasticNet,Macros,Related
CL,1,95.18576817,130.7339182,7.984802338,ElasticNet,Macros,Related
CL,2,71.46410579,81.55081944,5.724945793,ElasticNet,Macros,Related
CL,3,114.0244323,135.154941,9.200087843,ElasticNet,Macros,Related
CN,1,8601.369295,11563.10392,4.187633595,ElasticNet,Macros,Related
CN,2,8622.443783,11573.99203,4.194569367,ElasticNet,Macros,Related
CN,3,8622.443783,11573.99203,4.194569367,ElasticNet,Macros,Related
EE,1,27.45503034,35.17213019,5.989741773,ElasticNet,Macros,Related
EE,2,27.68724835,38.68399302,5.740124561,ElasticNet,Macros,Related
EE,3,26.99526636,30.43949682,7.78864624,ElasticNet,Macros,Related
IL,1,439.0054138,577.8065785,4.408998737,ElasticNet,Macros,Related
IL,2,434.8062433,577.4634969,4.352637631,ElasticNet,Macros,Related
IL,3,429.8902965,576.3668738,4.185669572,ElasticNet,Macros,Related
RO,1,118.2812462,153.1068032,10.57590022,ElasticNet,Macros,Related
RO,2,204.9735984,229.2842307,17.77148374,ElasticNet,Macros,Related
RO,3,318.0251998,337.1478331,26.84162032,ElasticNet,Macros,Related
RU,1,1527.866363,2092.90361,4.848335714,ElasticNet,Macros,Related
RU,2,1618.774202,2143.482573,5.163110999,ElasticNet,Macros,Related
RU,3,1649.331668,2136.167157,5.254452216,ElasticNet,Macros,Related
SG,1,622.5548519,715.757915,6.89311527,ElasticNet,Macros,Related
SG,2,663.7510496,725.1218042,7.468814357,ElasticNet,Macros,Related
SG,3,664.0496262,725.7397781,7.46665549,ElasticNet,Macros,Related
SI,1,45.18596123,68.71772869,5.763737926,ElasticNet,Macros,Related
SI,2,108.6914032,118.7922823,12.26313258,ElasticNet,Macros,Related
SI,3,67.49357106,82.20360438,8.256279105,ElasticNet,Macros,Related
ZA,1,338.5894722,383.9176498,8.440800315,ElasticNet,Macros,Related
ZA,2,280.7648798,322.6685823,6.576018398,ElasticNet,Macros,Related
ZA,3,310.9305542,339.9370666,7.950608404,ElasticNet,Macros,Related
TW,1,413.5817184,500.5667895,1.455152066,ElasticNet,Macros,Related
TW,2,403.1729363,487.8213469,1.417976539,ElasticNet,Macros,Related
TW,3,403.1729363,487.8213469,1.417976539,ElasticNet,Macros,Related
LV,1,32.4706266,48.59592961,16.28001948,ElasticNet,Macros,Related
LV,2,35.73294686,48.52429677,17.62248487,ElasticNet,Macros,Related
LV,3,34.6042384,47.69902651,17.41569898,ElasticNet,Macros,Related
LT,1,53.20855932,59.2352416,7.705622467,ElasticNet,Macros,Related
LT,2,47.38358028,54.86734361,6.907480396,ElasticNet,Macros,Related
LT,3,42.78460127,51.69954224,6.277325572,ElasticNet,Macros,Related
CO,1,139.0088897,157.7880878,9.484920863,ElasticNet,Macros,Related
CO,2,160.2692326,173.6143645,11.8312043,ElasticNet,Macros,Related
CO,3,163.5189067,177.0022498,11.99284968,ElasticNet,Macros,Related
CA,1,778.6179051,2333.799826,3.847733984,LinSVR,MGT,Related
CA,2,859.2070448,2347.911266,4.268348983,LinSVR,MGT,Related
CA,3,874.755475,2329.920803,4.359332266,LinSVR,MGT,Related
DE,1,2154.000393,5176.843265,2.780783857,LinSVR,MGT,Related
DE,2,2594.212159,5541.309513,3.264013927,LinSVR,MGT,Related
DE,3,2481.472339,5532.435633,3.132877197,LinSVR,MGT,Related
JP,1,4793.228049,10402.43804,4.01519589,LinSVR,MGT,Related
JP,2,5712.768976,11958.502,4.637886847,LinSVR,MGT,Related
JP,3,5596.200929,11765.37028,4.544209347,LinSVR,MGT,Related
KR,1,3604.824077,5096.03305,5.939556788,LinSVR,MGT,Related
KR,2,1888.577294,3125.848657,3.29557754,LinSVR,MGT,Related
KR,3,1573.917508,2359.68273,2.873433984,LinSVR,MGT,Related
CH,1,93.43638154,203.4514663,0.66697079,LinSVR,MGT,Related
CH,2,325.3590743,963.6023485,2.690781826,LinSVR,MGT,Related
CH,3,530.7734604,1366.062161,4.508259538,LinSVR,MGT,Related
GB,1,664.3205453,1365.852375,1.496957416,LinSVR,MGT,Related
GB,2,1022.945209,1666.170751,2.241671749,LinSVR,MGT,Related
GB,3,2577.858618,2701.966221,5.086058954,LinSVR,MGT,Related
US,1,12608.00903,33456.95528,3.468391639,LinSVR,MGT,Related
US,2,13971.96413,34896.02643,3.829291971,LinSVR,MGT,Related
US,3,14062.207,33984.7236,3.870872322,LinSVR,MGT,Related
CN,1,22821.15359,34855.81246,27.2068016,LinSVR,MGT,Related
CN,2,18045.8299,27905.168,21.48452053,LinSVR,MGT,Related
CN,3,15906.8592,24578.39626,17.26964776,LinSVR,MGT,Related
CA,1,2950.089692,3726.491073,25.8597863,LinSVR,AGT,Related
CA,2,2535.73444,3357.925547,22.83184643,LinSVR,AGT,Related
CA,3,3087.2725,3952.555354,27.40817771,LinSVR,AGT,Related
DE,1,6031.371792,7579.467255,9.420309706,LinSVR,AGT,Related
DE,2,5659.031016,7081.368227,9.047073048,LinSVR,AGT,Related
DE,3,5349.265176,6691.983772,8.699529832,LinSVR,AGT,Related
JP,1,20521.61402,27582.23458,25.65362673,LinSVR,AGT,Related
JP,2,22057.47213,28713.48528,27.13096123,LinSVR,AGT,Related
JP,3,20936.43523,27915.56813,26.0880762,LinSVR,AGT,Related
KR,1,13118.51672,16214.83792,25.91081456,LinSVR,AGT,Related
KR,2,8548.962937,10318.37841,17.8332759,LinSVR,AGT,Related
KR,3,6489.559825,7628.343929,14.94025018,LinSVR,AGT,Related
CH,1,1411.039803,1909.170302,12.48089527,LinSVR,AGT,Related
CH,2,1472.351304,1930.080324,12.84935618,LinSVR,AGT,Related
CH,3,1507.27346,1944.483937,13.05922626,LinSVR,AGT,Related
GB,1,2372.911706,3140.532061,5.811126996,LinSVR,AGT,Related
GB,2,2426.048125,3343.251009,5.793404464,LinSVR,AGT,Related
GB,3,2659.608417,3669.691592,6.460888674,LinSVR,AGT,Related
US,1,42141.93338,50931.07262,17.18920166,LinSVR,AGT,Related
US,2,37169.88066,47029.93252,16.19224684,LinSVR,AGT,Related
US,3,35854.38911,47151.36051,16.2288877,LinSVR,AGT,Related
CN,1,34732.96599,46730.91929,55.67618357,LinSVR,AGT,Related
CN,2,38549.16123,56740.41936,47.77419614,LinSVR,AGT,Related
CN,3,38222.58763,56492.60943,47.54392845,LinSVR,AGT,Related
CA,1,115.6466448,286.2739707,0.456867644,LinSVR,MGTwRD,Related
CA,2,127.3466158,310.8142856,0.494714163,LinSVR,MGTwRD,Related
CA,3,160.3968835,326.42343,0.607831252,LinSVR,MGTwRD,Related
DE,1,299.0295324,671.1837174,0.310955627,LinSVR,MGTwRD,Related
DE,2,343.5247945,683.386204,0.347255221,LinSVR,MGTwRD,Related
DE,3,413.9918949,713.6718121,0.409178233,LinSVR,MGTwRD,Related
JP,1,570.3700572,1359.66476,0.374008156,LinSVR,MGTwRD,Related
JP,2,777.5834015,1761.375176,0.506113979,LinSVR,MGTwRD,Related
JP,3,840.2431886,1753.852483,0.550355474,LinSVR,MGTwRD,Related
KR,1,670.3918396,1435.759495,1.259170919,LinSVR,MGTwRD,Related
KR,2,672.5937653,1437.004278,1.261661503,LinSVR,MGTwRD,Related
KR,3,731.6322623,1462.106509,1.334659821,LinSVR,MGTwRD,Related
CH,1,118.1529108,373.8638306,0.9900666,LinSVR,MGTwRD,Related
CH,2,250.4242787,391.2853397,1.808215729,LinSVR,MGTwRD,Related
CH,3,264.3174574,386.9799097,1.89495481,LinSVR,MGTwRD,Related
GB,1,547.1131007,1631.167634,1.057761962,LinSVR,MGTwRD,Related
GB,2,572.0191256,1641.965572,1.129814794,LinSVR,MGTwRD,Related
GB,3,613.8881233,1654.683849,1.222878651,LinSVR,MGTwRD,Related
US,1,2165.351291,3745.970549,0.431317347,LinSVR,MGTwRD,Related
US,2,2358.706205,4081.430364,0.48281689,LinSVR,MGTwRD,Related
US,3,2433.12156,4126.653935,0.493828067,LinSVR,MGTwRD,Related
CN,1,2744.94501,6500.136269,1.424868278,LinSVR,MGTwRD,Related
CN,2,2978.449005,6746.132605,1.617384345,LinSVR,MGTwRD,Related
CN,3,3239.045473,6868.149888,1.638840005,LinSVR,MGTwRD,Related
CA,1,843.7262113,971.851112,5.061558396,LinSVR,AGTwRD,Related
CA,2,1075.889556,1227.033421,6.206745034,LinSVR,AGTwRD,Related
CA,3,914.7291556,1112.001067,5.118104605,LinSVR,AGTwRD,Related
DE,1,2056.274462,2309.196923,2.881870578,LinSVR,AGTwRD,Related
DE,2,2070.936419,2300.683035,2.922980209,LinSVR,AGTwRD,Related
DE,3,2380.859104,2561.491805,3.374633278,LinSVR,AGTwRD,Related
JP,1,3762.629577,4949.762029,2.900256639,LinSVR,AGTwRD,Related
JP,2,4393.197115,6254.32434,3.154792349,LinSVR,AGTwRD,Related
JP,3,5089.490205,7066.028368,3.63414635,LinSVR,AGTwRD,Related
KR,1,1440.094954,2076.513553,2.604566712,LinSVR,AGTwRD,Related
KR,2,1092.129979,1379.355971,2.846382211,LinSVR,AGTwRD,Related
KR,3,765.0906499,978.0268352,2.807705483,LinSVR,AGTwRD,Related
CH,1,853.108063,1030.760648,7.978027561,LinSVR,AGTwRD,Related
CH,2,934.6639266,1074.713523,8.880346938,LinSVR,AGTwRD,Related
CH,3,673.0696879,883.8624852,6.136992223,LinSVR,AGTwRD,Related
GB,1,1038.557341,1188.593069,2.712729933,LinSVR,AGTwRD,Related
GB,2,1357.6319,1959.478573,3.059226501,LinSVR,AGTwRD,Related
GB,3,2984.400429,4800.765346,5.449037988,LinSVR,AGTwRD,Related
US,1,7083.656597,8917.252548,2.162838882,LinSVR,AGTwRD,Related
US,2,6809.420464,8673.995198,1.972160947,LinSVR,AGTwRD,Related
US,3,10122.68026,11774.47723,2.980834766,LinSVR,AGTwRD,Related
CN,1,20451.50058,26487.63944,7.017801611,LinSVR,AGTwRD,Related
CN,2,11630.99885,14051.05023,5.143484535,LinSVR,AGTwRD,Related
CN,3,12376.0331,15005.56127,5.430799848,LinSVR,AGTwRD,Related
CA,1,106.9153027,282.2840083,0.427471344,LinSVR,AllVar,Related
CA,2,138.6857915,313.7263494,0.535463012,LinSVR,AllVar,Related
CA,3,154.616055,319.0682998,0.595013241,LinSVR,AllVar,Related
DE,1,354.3356882,671.3904474,0.359051059,LinSVR,AllVar,Related
DE,2,442.6458456,714.8204373,0.430996564,LinSVR,AllVar,Related
DE,3,491.4719438,752.5443107,0.473299702,LinSVR,AllVar,Related
JP,1,643.290832,1434.906618,0.414409925,LinSVR,AllVar,Related
JP,2,768.31389,1717.202766,0.499993997,LinSVR,AllVar,Related
JP,3,791.3640829,1717.25987,0.519328941,LinSVR,AllVar,Related
KR,1,1039.901087,1691.264315,1.676560035,LinSVR,AllVar,Related
KR,2,1016.246854,1677.184897,1.64841314,LinSVR,AllVar,Related
KR,3,1065.078284,1714.065422,1.698645149,LinSVR,AllVar,Related
CH,1,200.6605963,371.3445546,1.43197759,LinSVR,AllVar,Related
CH,2,302.790574,403.2985958,2.109074985,LinSVR,AllVar,Related
CH,3,476.7406392,498.8348924,3.160261226,LinSVR,AllVar,Related
GB,1,542.3316861,1653.631018,1.016206488,LinSVR,AllVar,Related
GB,2,553.4182069,1656.80686,1.04802484,LinSVR,AllVar,Related
GB,3,572.2162825,1661.848609,1.087550493,LinSVR,AllVar,Related
US,1,3048.900325,4944.904682,0.575934827,LinSVR,AllVar,Related
US,2,2744.057501,4522.003727,0.544368106,LinSVR,AllVar,Related
US,3,2814.866902,4542.932117,0.557456314,LinSVR,AllVar,Related
CN,1,4871.132477,7238.880251,2.792616232,LinSVR,AllVar,Related
