Country,Lag,MAE,RMSE,MAPE,Model,Sub-Model
SG,3,664.0496261826308,725.7397780514779,7.466655490352707,ElasticNet,Macros
SI,1,45.18596123200516,68.7177286927797,5.763737925678641,ElasticNet,Macros
SI,2,108.69140323713934,118.79228228527694,12.263132582970686,ElasticNet,Macros
SI,3,67.4935710632836,82.20360438335895,8.256279104550552,ElasticNet,Macros
ZA,1,338.5894722329869,383.91764977825335,8.440800315066515,ElasticNet,Macros
ZA,2,280.7648798430422,322.6685822911813,6.576018397621892,ElasticNet,Macros
ZA,3,310.9305542133635,339.9370665954573,7.950608403879583,ElasticNet,Macros
TW,1,413.5817183761559,500.5667894510229,1.4551520657932142,ElasticNet,Macros
TW,2,403.1729363173807,487.82134686899855,1.4179765391454342,ElasticNet,Macros
TW,3,403.1729363173807,487.82134686899855,1.4179765391454342,ElasticNet,Macros
LV,1,32.47062659908992,48.595929608078805,16.28001947745484,ElasticNet,Macros
LV,2,35.73294685643447,48.52429677059892,17.622484867941257,ElasticNet,Macros
LV,3,34.60423840347842,47.69902651175862,17.415698980749422,ElasticNet,Macros
LT,1,53.20855931805116,59.23524159615038,7.705622466685988,ElasticNet,Macros
LT,2,47.383580284283624,54.86734360585233,6.907480395504761,ElasticNet,Macros
LT,3,42.784601274454246,51.69954224056527,6.277325572466701,ElasticNet,Macros
CO,1,139.00888971818614,157.78808775536032,9.484920863140418,ElasticNet,Macros
CO,2,160.26923259982846,173.61436452693948,11.83120430447417,ElasticNet,Macros
CO,3,163.51890673514723,177.0022498362298,11.992849680312252,ElasticNet,Macros
CA,1,1256.8679220373772,3052.114166263095,7.775495205257965,LinSVR,MGT
CA,2,1132.4227903714468,2720.6089212586908,6.881700947836605,LinSVR,MGT
CA,3,1193.4835500062984,2528.2798442163707,6.804871674264204,LinSVR,MGT
DE,1,3769.263649055238,6590.327507618602,4.52359302163595,LinSVR,MGT
DE,2,4105.37427873773,5637.311611079881,4.802550210701426,LinSVR,MGT
DE,3,4154.187005434989,5692.625551623246,4.774654311862388,LinSVR,MGT
JP,1,8771.833308892425,18555.382419073863,7.828184852179959,LinSVR,MGT
JP,2,8767.519192850477,18681.11860275235,7.844727963631787,LinSVR,MGT
JP,3,8700.968890406819,18357.05927340726,7.75856608041348,LinSVR,MGT
KR,1,10386.931093930598,13874.298075252324,23.842504548456976,LinSVR,MGT
KR,2,9121.772139440996,13213.808664938146,23.989720271683673,LinSVR,MGT
KR,3,8148.551686567688,11692.281928834786,19.43742547856653,LinSVR,MGT
CH,1,2546.8886618919378,2938.5046484584495,17.515121305599777,LinSVR,MGT
CH,2,1895.7080062433229,2551.3559147477454,14.555380027920004,LinSVR,MGT
CH,3,2135.830607183062,3336.3230426976093,18.56155495238608,LinSVR,MGT
GB,1,3428.6386241025684,4999.247081191035,6.058134378094892,LinSVR,MGT
GB,2,3145.5955116245973,4684.85641061494,5.4867274866744395,LinSVR,MGT
GB,3,4190.374146732071,5253.044124348406,7.60774910138871,LinSVR,MGT
US,1,39267.4260689711,60200.16033214896,9.456254301619015,LinSVR,MGT
US,2,28938.772602924266,46720.84475088321,6.875188274007177,LinSVR,MGT
US,3,27389.517284356993,41571.79566438055,6.424136382546883,LinSVR,MGT
CN,1,96430.10235195076,113078.14337698017,74.22624129869162,LinSVR,MGT
CN,2,81806.01510369088,97190.85973850414,69.86190297383192,LinSVR,MGT
CN,3,71180.39394027679,87647.20434494907,66.62513562197847,LinSVR,MGT
