Country,Algorithm,Model_Variation,RMSE,MAE,MAPE
4,MLP-Pytorch,MGTwRD,2290.794921875,705.9680786132812,1.3663543462753296
5,MLP-Pytorch,MGTwRD,1735.50439453125,946.121826171875,0.5731632709503174
6,MLP-Pytorch,MGTwRD,1563.98828125,898.1693115234375,1.360899806022644
7,MLP-Pytorch,MGTwRD,7058.232421875,3538.125732421875,0.654634416103363
0,MLP-Pytorch,MGTwRD,271.4199523925781,191.7933807373047,0.6822464466094971
1,MLP-Pytorch,MGTwRD,227.64776611328125,156.424560546875,1.2019095420837402
2,MLP-Pytorch,MGTwRD,4403.3330078125,3989.1416015625,1.8943239450454712
3,MLP-Pytorch,MGTwRD,1532.7501220703125,730.6195068359375,0.6875720620155334
4,MLP-Pytorch,MGTwRD,2288.2890625,712.052734375,1.3761202096939087
5,MLP-Pytorch,MGTwRD,1752.253662109375,978.0035400390625,0.59233558177948
6,MLP-Pytorch,MGTwRD,1564.49267578125,909.6890258789062,1.3768324851989746
7,MLP-Pytorch,MGTwRD,7041.95361328125,3611.427001953125,0.669891357421875
KR,ElasticNet,MGTwRD,23213.314001634495,19137.514098842268,39.870119437812
DE,ElasticNet,MGTwRD,17418.369903403946,14411.378106597627,12.383434649784755
GB,ElasticNet,MGTwRD,29418.128215999433,26415.589695495655,60.905564553445345
JP,ElasticNet,MGTwRD,45625.32546176313,45435.2470249959,27.85245852771915
CA,ElasticNet,MGTwRD,47714.31727995014,47696.869608480425,170.94552885494116
US,ElasticNet,MGTwRD,72767.27921571684,59793.98638923159,11.855261121661666
CN,ElasticNet,MGTwRD,60248.365741284455,52778.296581867595,21.19775474258931
CH,ElasticNet,MGTwRD,59269.60282328275,59227.4143091919,391.8030789849753
KR,MLP-Scikit,MGTwRD,1510.274619127777,1009.9173182303834,1.5727535139036994
DE,MLP-Scikit,MGTwRD,1356.5276693686214,984.6934531079776,0.922709005578044
GB,MLP-Scikit,MGTwRD,1405.3869858305504,490.6491681531664,0.8612102990903373
JP,MLP-Scikit,MGTwRD,2339.9882470820908,1704.336697725508,1.052039092573698
CA,MLP-Scikit,MGTwRD,369.0712205840254,260.22240193102664,0.9203056354278862
US,MLP-Scikit,MGTwRD,6927.1739850300155,4706.336231448486,0.9200522836738004
CN,MLP-Scikit,MGTwRD,9102.740954060406,5067.141790257184,2.387558222277818
CH,MLP-Scikit,MGTwRD,477.5532610890327,339.2510247519319,2.187576065908297
KR,RF,MGTwRD,482.170120039193,179.7154235907539,0.2870495179107908
DE,RF,MGTwRD,402.6477657068788,141.93413603783847,0.1336956784272762
GB,RF,MGTwRD,469.2462430982564,107.58266008261803,0.1901937880546159
JP,RF,MGTwRD,690.982396945808,206.74795312067556,0.1277875754003137
CA,RF,MGTwRD,97.31699831072628,28.690676864144187,0.1029620283637127
US,RF,MGTwRD,2326.9784940384407,905.9601387906988,0.1799927334672568
CN,RF,MGTwRD,2900.079778778123,1005.509035017321,0.4646814801024725
CH,RF,MGTwRD,90.21647951350988,38.652885441390055,0.2573181311390456
KR,SVR,MGTwRD,72367.79181411871,68450.27566999532,99.99999999999984
DE,SVR,MGTwRD,108219.0053032784,106972.9538905632,99.9999999999999
GB,SVR,MGTwRD,55251.64609512387,52915.75172297888,99.9999999999998
JP,SVR,MGTwRD,163006.64765258328,162799.82495703874,99.99999999999996
CA,SVR,MGTwRD,28043.463407877265,28007.32869692257,99.99999999999966
US,SVR,MGTwRD,509199.5081060253,500059.4882413555,99.99999999999996
CN,SVR,MGTwRD,273055.3417956813,244000.7768083364,99.99999999999996
CH,SVR,MGTwRD,15773.709876018607,15597.830604325623,99.99999999999936
KR,XGBoost,MGTwRD,145.59235410827617,86.87668572592348,0.1295417642064831
DE,XGBoost,MGTwRD,130.47314843613566,83.79147670904936,0.0799367050505973
GB,XGBoost,MGTwRD,73.65173423736894,54.32058896641689,0.1121382885587403
JP,XGBoost,MGTwRD,101.34722352312087,73.39561903677489,0.0456642484204119
CA,XGBoost,MGTwRD,97.98596590273246,54.366751875528585,0.19252937559958
US,XGBoost,MGTwRD,79.11973725769091,49.50817567524248,0.009789772593929
CN,XGBoost,MGTwRD,131.60945909012253,69.3088046812407,0.0454203287578564
CH,XGBoost,MGTwRD,45.07057679715946,33.8190298748259,0.2434201682115644
0,MLP-Pytorch,AllVar,338.9783935546875,257.815673828125,0.9180796146392822
1,MLP-Pytorch,AllVar,264.31378173828125,227.9658203125,1.6175825595855713
2,MLP-Pytorch,AllVar,4447.5966796875,4004.7509765625,1.9005011320114136
3,MLP-Pytorch,AllVar,1627.551513671875,767.5743408203125,0.7244032621383667
4,MLP-Pytorch,AllVar,2265.865966796875,743.0368041992188,1.4251554012298584
5,MLP-Pytorch,AllVar,1733.61376953125,922.3316650390625,0.5588477253913879
6,MLP-Pytorch,AllVar,1528.0885009765625,929.875732421875,1.475020170211792
7,MLP-Pytorch,AllVar,6860.03271484375,3220.751220703125,0.5904521346092224
0,MLP-Pytorch,AllVar,282.5447692871094,212.1298370361328,0.7551970481872559
1,MLP-Pytorch,AllVar,223.94943237304688,194.23828125,1.3600462675094604
2,MLP-Pytorch,AllVar,4438.33984375,4003.25146484375,1.8808026313781738
3,MLP-Pytorch,AllVar,1567.8436279296875,806.300048828125,0.761006236076355
4,MLP-Pytorch,AllVar,2267.83740234375,700.29248046875,1.3183653354644775
5,MLP-Pytorch,AllVar,1768.9666748046875,1023.3192749023438,0.6199216842651367
6,MLP-Pytorch,AllVar,1558.1190185546875,962.3112182617188,1.5006135702133179
7,MLP-Pytorch,AllVar,7028.96240234375,3622.811279296875,0.6715629696846008
0,MLP-Pytorch,AllVar,309.8096618652344,234.97276306152344,0.836638331413269
1,MLP-Pytorch,AllVar,243.81698608398438,210.8397216796875,1.4868013858795166
2,MLP-Pytorch,AllVar,4419.81689453125,4004.003173828125,1.8906524181365967
3,MLP-Pytorch,AllVar,1596.410888671875,786.9370727539062,0.7427046298980713
4,MLP-Pytorch,AllVar,2266.390625,721.6029052734375,1.3716095685958862
5,MLP-Pytorch,AllVar,1750.3421630859375,972.8252563476562,0.5893845558166504
6,MLP-Pytorch,AllVar,1542.759033203125,946.0939331054688,1.487817645072937
7,MLP-Pytorch,AllVar,6941.10009765625,3413.8603515625,0.6295663118362427
KR,ElasticNet,AllVar,27027.772563507468,22545.354171615396,46.49329786933672
DE,ElasticNet,AllVar,23290.02966289443,18849.866663087152,16.131534995328536
GB,ElasticNet,AllVar,30011.16728673289,25925.82759774452,61.066879418190446
JP,ElasticNet,AllVar,44522.61446990615,44128.72839263988,26.993460079879277
CA,ElasticNet,AllVar,44435.007892013695,44163.11812578012,158.81369616008797
US,ElasticNet,AllVar,71006.96239518141,58216.525146080225,11.519036623823409
CN,ElasticNet,AllVar,49527.487349309966,42780.86834457926,17.639150174462774
CH,ElasticNet,AllVar,42936.31442406813,41994.98503754078,285.38035575657966
KR,MLP-Scikit,AllVar,1494.642357653478,1014.482811048824,1.676335131592562
DE,MLP-Scikit,AllVar,1285.122909545555,901.0939069525388,0.8504736086661389
GB,MLP-Scikit,AllVar,1381.34488749491,593.8969334082784,1.0436525875288458
JP,MLP-Scikit,AllVar,1999.752182526835,1064.59766751416,0.6606788494444241
CA,MLP-Scikit,AllVar,298.02480577225964,153.12560223801304,0.5459467929614833
US,MLP-Scikit,AllVar,6396.936101430609,4281.338413510938,0.8410215099428211
CN,MLP-Scikit,AllVar,8624.150836492587,5806.549086808162,2.834333307168807
CH,MLP-Scikit,AllVar,505.81075449826415,392.70149737433024,2.655824616038193
KR,RF,AllVar,497.64240052956353,179.23663072712412,0.2758418234263624
DE,RF,AllVar,425.72511528026246,155.92375140324006,0.145625916296989
GB,RF,AllVar,431.7022712126488,92.94532974799296,0.1636737688703008
JP,RF,AllVar,705.9806819913439,208.42610283953735,0.1293657704150655
CA,RF,AllVar,89.42657530249049,28.005686053643306,0.1000584270333178
US,RF,AllVar,2506.8174372680733,959.5790313604392,0.1920420744809306
CN,RF,AllVar,3193.658443359133,1134.1899212296526,0.51726574010223
CH,RF,AllVar,168.12540111522642,68.34751265266259,0.4844271050410628
KR,SVR,AllVar,72367.79181411871,68450.27566999532,99.99999999999984
DE,SVR,AllVar,108219.0053032784,106972.9538905632,99.9999999999999
GB,SVR,AllVar,55251.64609512387,52915.75172297888,99.9999999999998
JP,SVR,AllVar,163006.64765258328,162799.82495703874,99.99999999999996
CA,SVR,AllVar,28043.463407877265,28007.32869692257,99.99999999999966
US,SVR,AllVar,509199.5081060253,500059.4882413555,99.99999999999996
CN,SVR,AllVar,273055.3417956813,244000.7768083364,99.99999999999996
CH,SVR,AllVar,15773.709876018607,15597.830604325623,99.99999999999936
KR,XGBoost,AllVar,80.60469396143544,53.30101688725008,0.0814038929920369
DE,XGBoost,AllVar,103.91224687520445,66.9904648200533,0.064350884760185
GB,XGBoost,AllVar,74.15460961734982,47.87272737743672,0.0983692911697523
JP,XGBoost,AllVar,87.22361147358401,55.821028594109414,0.0343410571568739
CA,XGBoost,AllVar,87.94727810276663,49.756215352639266,0.1762737011856213
US,XGBoost,AllVar,79.12337564771873,49.96097744306343,0.009973068942985
CN,XGBoost,AllVar,132.3077994639004,66.982776345363,0.0346467232533886
CH,XGBoost,AllVar,33.155703210169236,21.936270703083427,0.1643441460380823
0,MLP-Pytorch,Macros,303.3810119628906,175.1158447265625,0.6185726523399353
1,MLP-Pytorch,Macros,211.26107788085938,200.635009765625,1.421059012413025
2,MLP-Pytorch,Macros,4149.93310546875,3580.13427734375,1.7940475940704346
3,MLP-Pytorch,Macros,1176.3687744140625,647.36083984375,0.5879160165786743
4,MLP-Pytorch,Macros,2941.6396484375,678.9747924804688,1.177372932434082
5,MLP-Pytorch,Macros,1640.572509765625,835.3895874023438,0.5083610415458679
6,MLP-Pytorch,Macros,1663.2083740234375,916.6102905273438,1.512341022491455
7,MLP-Pytorch,Macros,8239.7373046875,4038.1611328125,0.7424212694168091
0,MLP-Pytorch,Macros,285.2801818847656,105.5688705444336,0.3646661937236786
1,MLP-Pytorch,Macros,171.44277954101562,169.0517578125,1.1820521354675293
2,MLP-Pytorch,Macros,5202.896484375,4578.82080078125,2.1093509197235107
3,MLP-Pytorch,Macros,1184.375732421875,545.4933471679688,0.4910871982574463
4,MLP-Pytorch,Macros,3049.793212890625,711.0579223632812,1.1593444347381592
5,MLP-Pytorch,Macros,1666.6380615234375,699.77734375,0.42523908615112305
6,MLP-Pytorch,Macros,1683.1851806640625,945.9832763671875,1.56416916847229
7,MLP-Pytorch,Macros,8343.041015625,3537.32958984375,0.6391772627830505
0,MLP-Pytorch,Macros,282.8881530761719,131.3189239501953,0.4585135579109192
1,MLP-Pytorch,Macros,190.51919555664062,184.8428955078125,1.3015522956848145
2,MLP-Pytorch,Macros,4236.740234375,3757.027587890625,1.8537530899047852
3,MLP-Pytorch,Macros,1158.469482421875,577.7781982421875,0.5238337516784668
4,MLP-Pytorch,Macros,2980.319091796875,688.701171875,1.1555969715118408
5,MLP-Pytorch,Macros,1606.2281494140625,735.9456787109375,0.4473639130592346
6,MLP-Pytorch,Macros,1666.5045166015625,914.5515747070312,1.4956673383712769
7,MLP-Pytorch,Macros,8271.4921875,3702.23046875,0.6728864908218384
KR,ElasticNet,Macros,27027.772563507468,22545.354171615396,46.49329786933672
DE,ElasticNet,Macros,23290.02966289443,18849.866663087152,16.131534995328536
