Year,Month,weight,annual_weight,estimate,date,Model,Variant
2017,1,0.0027285760267023824,0.02436870810620298,61.542445354410525,2017-01-01,OLS,signed
2017,2,0.0014101685736550987,0.02436870810620298,31.806048845763748,2017-02-01,OLS,signed
2017,3,0.0018032556203549728,0.02436870810620298,40.67204262944816,2017-03-01,OLS,signed
2017,4,0.001814342181221554,0.02436870810620298,40.922097625029316,2017-04-01,OLS,signed
2017,5,0.0018839353955503368,0.02436870810620298,42.49175760443001,2017-05-01,OLS,signed
2017,6,0.0020606678980654453,0.02436870810620298,46.47792118277425,2017-06-01,OLS,signed
2017,7,0.0026060633416584234,0.02436870810620298,58.77919809622358,2017-07-01,OLS,signed
2017,8,0.0027998409497042415,0.02436870810620298,63.14981036334109,2017-08-01,OLS,signed
2017,9,0.0026514087213151297,0.02436870810620298,59.801953380404,2017-09-01,OLS,signed
2017,10,0.003697263104775846,0.02436870810620298,83.3909740318056,2017-10-01,OLS,signed
2017,11,0.0008797304764826368,0.02436870810620298,19.842131663442768,2017-11-01,OLS,signed
2017,12,3.3455816716913226e-05,0.02436870810620298,0.7545887495669862,2017-12-01,OLS,signed
2018,1,0.001998425898518656,0.04071534126681755,28.783538560328257,2018-01-01,OLS,signed
2018,2,0.0014411344332785282,0.04071534126681755,20.75681092886021,2018-02-01,OLS,signed
2018,3,0.0012513454344374717,0.04071534126681755,18.02326000234501,2018-03-01,OLS,signed
2018,4,0.0012939544097008001,0.04071534126681755,18.636961557862875,2018-04-01,OLS,signed
2018,5,0.0018942373562769001,0.04071534126681755,27.28290002007368,2018-05-01,OLS,signed
2018,6,0.002353259463551142,0.04071534126681755,33.8942437454352,2018-06-01,OLS,signed
2018,7,0.0023663012466864403,0.04071534126681755,34.08208592064347,2018-07-01,OLS,signed
2018,8,0.00095428060141446,0.04071534126681755,13.744603944808178,2018-08-01,OLS,signed
2018,9,0.0019112158180415023,0.04071534126681755,27.527442591934232,2018-09-01,OLS,signed
2018,10,0.0028638812565331836,0.04071534126681755,41.24878317516194,2018-10-01,OLS,signed
2018,11,0.008054769414713758,0.04071534126681755,116.01369168345059,2018-11-01,OLS,signed
2018,12,0.014332535933664707,0.04071534126681755,206.43302362110435,2018-12-01,OLS,signed
2019,1,0.003486892541276037,0.03700647426499714,59.53491222793613,2019-01-01,OLS,signed
2019,2,0.0038660330069269716,0.03700647426499714,66.00832489477068,2019-02-01,OLS,signed
2019,3,0.0032345411650675305,0.03700647426499714,55.22628589221477,2019-03-01,OLS,signed
2019,4,0.00243633320550921,0.03700647426499714,41.59774981047074,2019-04-01,OLS,signed
2019,5,0.002852819676968726,0.03700647426499714,48.70880506352167,2019-05-01,OLS,signed
2019,6,0.003061856047407727,0.03700647426499714,52.277874605876434,2019-06-01,OLS,signed
2019,7,0.0017291060852705627,0.03700647426499714,29.52261298585968,2019-07-01,OLS,signed
2019,8,0.003452825629532629,0.03700647426499714,58.953256620109904,2019-08-01,OLS,signed
2019,9,0.0031459397695036938,0.03700647426499714,53.71351305917664,2019-09-01,OLS,signed
2019,10,0.003510139181564581,0.03700647426499714,59.93182342401973,2019-10-01,OLS,signed
2019,11,0.0024677273888862126,0.03700647426499714,42.13377147723928,2019-11-01,OLS,signed
2019,12,0.0037622605670832613,0.03700647426499714,64.23652291789841,2019-12-01,OLS,signed
2020,1,0.0037407992288534158,0.038951573514837926,64.53345649757058,2020-01-01,OLS,signed
2020,2,0.0024500691279497125,0.038951573514837926,42.26675098333087,2020-02-01,OLS,signed
2020,3,0.007046527695150775,0.038951573514837926,121.56139922358764,2020-03-01,OLS,signed
2020,4,0.006896145861136486,0.038951573514837926,118.96712485875877,2020-04-01,OLS,signed
2020,5,0.0019125884466020143,0.038951573514837926,32.99453826993496,2020-05-01,OLS,signed
2020,6,0.001566568159552843,0.038951573514837926,27.02525636639669,2020-06-01,OLS,signed
2020,7,0.003063718564907847,0.038951573514837926,52.85296981572581,2020-07-01,OLS,signed
2020,8,0.002524206288295118,0.038951573514837926,43.54570954788074,2020-08-01,OLS,signed
2020,9,0.001090235958419061,0.038951573514837926,18.807931270956907,2020-09-01,OLS,signed
2020,10,0.0026194174468204866,0.038951573514837926,45.188220888609244,2020-10-01,OLS,signed
2020,11,0.002449930413572831,0.038951573514837926,42.26435798716657,2020-11-01,OLS,signed
2020,12,0.0035913663235773337,0.038951573514837926,61.955552338064166,2020-12-01,OLS,signed
2021,1,0.003060167915648892,0.03895157351483791,55.757456012158855,2021-01-01,OLS,signed
2021,2,0.0008022658036443949,0.03895157351483791,14.61759664494632,2021-02-01,OLS,signed
2021,3,0.0014936104749175305,0.03895157351483791,27.21416688562818,2021-03-01,OLS,signed
2021,4,0.0012452901846345525,0.03895157351483791,22.689674098295708,2021-04-01,OLS,signed
2021,5,0.0024257035990135657,0.03895157351483791,44.19726807437463,2021-05-01,OLS,signed
2021,6,0.0018019140947982102,0.03895157351483791,32.83157939295501,2021-06-01,OLS,signed
2021,7,0.004971424571259025,0.03895157351483791,90.58129961831303,2021-07-01,OLS,signed
2021,8,0.004714232814886103,0.03895157351483791,85.89516524989479,2021-08-01,OLS,signed
2021,9,0.0030725057509523182,0.03895157351483791,55.98225619573642,2021-09-01,OLS,signed
2021,10,0.005372941772783267,0.03895157351483791,97.8971000316266,2021-10-01,OLS,signed
2021,11,0.004809481653170353,0.03895157351483791,87.63063632770235,2021-11-01,OLS,signed
2021,12,0.005182034879129702,0.03895157351483791,94.41870178070921,2021-12-01,OLS,signed
2004,1,0.02413625716807629,0.26820895787468146,33.73716949797471,2004-01-01,OLS,positive_part
2004,2,0.02390618456529716,0.26820895787468146,33.4155786919625,2004-02-01,OLS,positive_part
2004,3,0.022899640716589096,0.26820895787468146,32.00865216667165,2004-03-01,OLS,positive_part
