Year,Month,NN,Sax,Mosley,Ridge_positive,Ridge_signed,date,Quarter,quarter_date
2012,11,35.67525675718705,32.7110470730984,33.4829459068017,34.588290936307146,35.10648688098041,2012-11-01,4,2012-10-01
2012,12,32.0770341453593,35.9403883964189,32.0475855850027,31.30281287648612,32.06610844674548,2012-12-01,4,2012-10-01
2013,1,47.93473946109689,38.6598074655354,38.9376973635049,44.44010815812812,43.91047015968919,2013-01-01,1,2013-01-01
2013,2,45.145394547658405,38.482854913421,39.6320176398373,44.66997230006229,42.43026156524169,2013-02-01,1,2013-01-01
2013,3,38.32467225602798,38.9224580300009,39.0331014104391,39.870123184953805,37.658841648418814,2013-03-01,1,2013-01-01
2013,4,39.84882004665344,37.6740779868615,40.1145563875472,40.87294827813286,37.77390332726776,2013-04-01,2,2013-04-01
2013,5,35.54127699928368,40.2919060960009,40.1772863496426,37.2476233900564,37.07577864359418,2013-05-01,2,2013-04-01
2013,6,36.027380533784246,44.9133973922323,39.6177304571196,35.611041747328194,35.82021861446898,2013-06-01,2,2013-04-01
2013,7,37.37919609200264,44.2024921071675,39.0005855114321,35.41716252401573,36.12798651048179,2013-07-01,3,2013-07-01
2013,8,37.12154604762587,43.4207795351011,39.7265644463031,36.783434996744106,38.60050056509744,2013-08-01,3,2013-07-01
2013,9,37.9093275501379,35.4384949539802,38.1497664012638,38.3715570516355,40.32668114207966,2013-09-01,3,2013-07-01
2013,10,37.86727109378442,32.408200446948,38.7856571306215,40.40701224875944,41.24564723863661,2013-10-01,4,2013-10-01
2013,11,39.13650176568601,36.9096909339997,38.7432044559623,39.113317246126165,40.48207425594359,2013-11-01,4,2013-10-01
2013,12,36.04109777790852,36.9530643104017,36.3590566179765,35.47292304570742,36.82486050073027,2013-12-01,4,2013-10-01
2014,1,44.09310810065775,36.9706561174853,41.1461640241047,43.51080558903132,41.83208560713159,2014-01-01,1,2014-01-01
2014,2,46.06004270591471,40.5507147863867,43.5595357498045,47.05134297595416,43.6510034608661,2014-02-01,1,2014-01-01
2014,3,42.77112324070831,39.1688663366842,40.333382756249,42.72760299581861,41.39453145516424,2014-03-01,1,2014-01-01
2014,4,45.83987768758457,40.0036708920944,42.6719933564589,44.995200971881054,44.41186490509307,2014-04-01,2,2014-04-01
2014,5,39.63751370298475,41.4698345946414,39.8435210040486,38.10978900392975,38.75374253172047,2014-05-01,2,2014-04-01
2014,6,37.99746784555483,46.1984845714102,39.4011763106138,36.79964802090584,37.87724501009451,2014-06-01,2,2014-04-01
2014,7,41.95557608163799,46.8767165086491,42.6564183389162,40.14867689402588,41.6876189655202,2014-07-01,3,2014-07-01
2014,8,39.80370314089287,45.246495148809,39.9498938636086,38.39916497093076,40.31754969185924,2014-08-01,3,2014-07-01
2014,9,34.8575725182964,36.2432135115929,40.7307648665664,38.13409309842649,37.95355390583628,2014-09-01,3,2014-07-01
2014,10,38.76856767144606,34.3308299240178,39.2466831726946,40.69562574771116,41.73294369924874,2014-10-01,4,2014-10-01
2014,11,36.09219587190727,36.4040758302433,36.6245713400252,36.96224330010475,38.3861667167133,2014-11-01,4,2014-10-01
2014,12,33.89873405448144,38.3119244000526,35.6113778389766,34.24128905334716,33.7771766728192,2014-12-01,4,2014-10-01
2015,1,43.217740531248246,40.4351121581914,40.6233282606909,43.83374117300333,41.73343193170175,2015-01-01,1,2015-01-01
2015,2,45.53817358914986,41.862716517406,41.4446414962576,45.25729811070568,42.11857743441372,2015-02-01,1,2015-01-01
2015,3,46.329115449897,43.9230828008522,43.6444823896855,46.70621852021264,46.26506356809604,2015-03-01,1,2015-01-01
2015,4,46.213341906960274,42.7193714359559,45.7748387074028,45.82828368372057,43.05551169531164,2015-04-01,2,2015-04-01
2015,5,39.86298417269218,46.041704675894,43.5386171480685,39.89852834842402,39.89228268458471,2015-05-01,2,2015-04-01
