Iteration,Training_Loss
1369,78812184.0
1370,55030140.0
1371,64266412.0
1372,31855146.0
1373,3763991.2
1374,46230000.0
1375,9345437.0
1376,28226156.0
1377,34648044.0
1378,52281040.0
1379,12496353.0
1380,63665224.0
1381,18667760.0
1382,127371016.0
1383,21085982.0
1384,125487580.0
1385,63909344.0
1386,47973028.0
1387,54673760.0
1388,31672936.0
1389,3686963.5
1390,42273172.0
1391,8166685.0
1392,24405016.0
1393,34677116.0
1394,48066204.0
1395,12561400.0
1396,57917136.0
1397,17016562.0
1398,119665410.0
1399,21242322.0
1400,116564220.0
1401,62654576.0
1402,44158560.0
1403,54742956.0
1404,31567626.0
1405,3919677.0
1406,40115180.0
1407,9839370.0
1408,24808010.0
1409,35394876.0
1410,51829068.0
1411,12962239.0
1412,65138132.0
1413,21950446.0
1414,131537510.0
1415,23474948.0
1416,133037144.0
1417,73270190.0
1418,47569904.0
1419,62316736.0
1420,31569348.0
1421,4387965.5
1422,42051900.0
1423,11824900.0
1424,28047158.0
1425,35767584.0
1426,57525964.0
1427,13105094.0
1428,74095576.0
1429,26379160.0
1430,144465460.0
1431,24483054.0
1432,149736740.0
1433,80161790.0
1434,52743816.0
1435,66319428.0
1436,31665570.0
1437,4140109.5
1438,44892656.0
1439,11293934.0
1440,29424134.0
1441,35304416.0
1442,56989440.0
1443,12772754.0
1444,72040856.0
1445,23850196.0
1446,140365970.0
1447,23070628.0
1448,143164130.0
1449,73943470.0
1450,52190790.0
1451,61601560.0
1452,31708600.0
1453,3760132.8
1454,44576348.0
1455,9507106.0
1456,27284266.0
1457,34836536.0
1458,52116948.0
1459,12537936.0
1460,63993364.0
1461,19518416.0
1462,128276980.0
1463,21725008.0
1464,127270750.0
1465,66198650.0
1466,47826570.0
1467,56755308.0
1468,31597420.0
1469,3745041.0
1470,42124816.0
1471,9220106.0
1472,25411082.0
1473,34989624.0
1474,50664010.0
1475,12646063.0
1476,62386820.0
1477,19547310.0
1478,126548920.0
1479,22197730.0
1480,125702960.0
1481,67374210.0
1482,46549770.0
1483,58058364.0
1484,31547590.0
1485,3968854.2
1486,41410380.0
1487,10384428.0
1488,26147840.0
1489,35408988.0
1490,53453100.0
1491,12866017.0
1492,67418580.0
1493,22737778.0
1494,134469700.0
1495,23451936.0
1496,136538370.0
1497,109268420.0
1498,20047300.0
1499,65688010.0
1500,35968356.0
1501,29812620.0
1502,27066262.0
1503,40463896.0
1504,34816360.0
1505,46624990.0
1506,115491336.0
1507,20392238.0
1508,178309490.0
1509,99757064.0
1510,302906340.0
1511,35177044.0
1512,364205220.0
1513,165399140.0
1514,127952810.0
1515,101381400.0
1516,39447430.0
1517,7401042.0
1518,82634610.0
1519,2993362.2
1520,36720132.0
1521,32194096.0
1522,37247120.0
1523,13870534.0
1524,32479750.0
1525,4287687.5
1526,70192584.0
1527,11101568.0
1528,49057244.0
1529,19630802.0
1530,32069806.0
1531,22053402.0
1532,31522972.0
1533,8582275.0
1534,32210406.0
1535,1623801.5
1536,10135961.0
1537,33166166.0
1538,28284442.0
1539,12115129.0
1540,24468576.0
1541,3770773.5
1542,60436050.0
1543,13886908.0
1544,43623108.0
1545,26450592.0
1546,25576824.0
1547,28670798.0
1548,32040462.0
1549,3662470.5
1550,28357656.0
1551,5752323.0
1552,13957080.0
1553,35380604.0
1554,37664524.0
1555,12890698.0
1556,44092148.0
1557,13177554.0
1558,100722140.0
1559,20803494.0
1560,94340660.0
1561,54738930.0
1562,37494564.0
1563,49619536.0
1564,31545770.0
1565,4140183.8
1566,36561828.0
1567,10599920.0
1568,23130662.0
1569,35975156.0
1570,52186540.0
1571,13204457.0
1572,66954932.0
1573,24056496.0
1574,135083600.0
1575,24309906.0
1576,138361760.0
1577,76054120.0
1578,49207236.0
1579,64278016.0
1580,31516690.0
1581,4367104.5
1582,42931680.0
1583,12098331.0
1584,28830026.0
1585,35711372.0
1586,58224236.0
1587,12921738.0
1588,74743650.0
1589,26201642.0
1590,144807760.0
1591,24120078.0
1592,149553460.0
1593,78367520.0
1594,53438110.0
1595,65056930.0
1596,31639536.0
1597,3899572.2
1598,45156636.0
1599,10667701.0
1600,28845124.0
1601,35090948.0
1602,55111880.0
1603,60119652.0
1604,513688770.0
1605,234109150.0
1606,688959700.0
1607,18191336.0
1608,824676400.0
1609,221637120.0
1610,346967000.0
1611,61980388.0
1612,102245144.0
1613,183346460.0
1614,190321390.0
1615,59472868.0
1616,8027857.0
1617,59866430.0
1618,83105800.0
1619,157353500.0
1620,24949418.0
1621,127127310.0
1622,30427196.0
1623,48298980.0
1624,51101520.0
1625,58285840.0
1626,19707340.0
1627,35913220.0
1628,35451344.0
1629,20054934.0
1630,17980874.0
1631,3980926.8
1632,16435114.0
1633,35346220.0
1634,34033920.0
1635,14139805.0
1636,22626762.0
1637,3313050.2
1638,39924250.0
1639,14760031.0
1640,26136502.0
1641,22225254.0
1642,20582470.0
1643,24805434.0
1644,33014172.0
1645,3887732.2
1646,25220878.0
1647,5140806.0
1648,12336185.0
