Year,Month,NN,Sax,Mosley,date,Uniform,Employment
2014,9,34.8575725182964,36.2432135115929,40.7307648665664,2014-09-01,40.14795688517224,377400
2014,10,38.76856767144606,34.3308299240178,39.2466831726946,2014-10-01,40.14795688517224,376400
2014,11,36.092195871907265,36.4040758302433,36.6245713400252,2014-11-01,40.14795688517224,377400
2014,12,33.89873405448144,38.3119244000526,35.6113778389766,2014-12-01,40.14795688517224,379200
2015,1,43.217740531248246,40.4351121581914,40.6233282606909,2015-01-01,42.28341666666666,379700
2015,2,45.53817358914986,41.862716517406,41.4446414962576,2015-02-01,42.28341666666666,380500
2015,3,46.32911544989699,43.9230828008522,43.6444823896855,2015-03-01,42.28341666666666,382300
2015,4,46.213341906960274,42.7193714359559,45.7748387074028,2015-04-01,42.28341666666666,384700
2015,5,39.86298417269218,46.041704675894,43.5386171480685,2015-05-01,42.28341666666666,385600
2015,6,42.68526557266984,46.5310407805877,43.4375246680306,2015-06-01,42.28341666666666,389700
2015,7,40.729448468588835,49.1340168659524,42.0698780049277,2015-07-01,42.28341666666666,391600
2015,8,43.91971610505674,46.788206762691,45.2061093006287,2015-08-01,42.28341666666666,390300
2015,9,40.12105074336655,36.1709420535705,41.2773982459624,2015-09-01,42.28341666666666,386100
2015,10,42.20408514238048,37.0888753321751,42.3842275681599,2015-10-01,42.28341666666666,385400
2015,11,32.91150927222386,37.3910899332173,39.6766045736136,2015-11-01,42.28341666666666,385400
2015,12,43.66856904576612,39.3148406835066,38.3233496365718,2015-12-01,42.28341666666666,385400
2016,1,47.63332630394939,43.1070227934286,45.647177617306,2016-01-01,44.014308408588086,380600
2016,2,49.38088742185453,40.7569701187678,46.1285673135061,2016-02-01,44.014308408588086,381200
2016,3,46.85546966307884,43.8900106497481,46.2872775254006,2016-03-01,44.014308408588086,381600
2016,4,45.3198883948357,42.2166914608195,46.5805730083508,2016-04-01,44.014308408588086,383000
2016,5,43.17530309435645,44.5682496789465,46.2536316765223,2016-05-01,44.014308408588086,383000
2016,6,42.88654579439549,50.4854512449744,46.625375489312,2016-06-01,44.014308408588086,387900
2016,7,41.279675270132515,54.0219604993,45.6341686153499,2016-07-01,44.014308408588086,391300
2016,8,42.746686423858165,47.0831215225129,44.1001014359143,2016-08-01,44.014308408588086,390000
2016,9,43.51842538901597,37.7821101296772,43.8158226054356,2016-09-01,44.014308408588086,382700
2016,10,42.725714124914354,39.9716502349646,43.4356693793418,2016-10-01,44.014308408588086,382800
2016,11,42.439469656431235,40.9267349449318,38.2789087698635,2016-11-01,44.014308408588086,383400
2016,12,40.21030936623445,43.3617276249856,35.3844274667541,2016-12-01,44.014308408588086,384300
2017,1,40.706025087234465,47.2013571295342,41.8731281449768,2017-01-01,45.80258079388667,380600
2017,2,42.642916107015736,40.8153403533238,42.8029557323669,2017-02-01,45.80258079388667,381200
2017,3,44.83630281238389,43.9273773193896,44.8845499619526,2017-03-01,45.80258079388667,382500
2017,4,54.69474875318824,52.2413131786613,54.7276013029209,2017-04-01,45.80258079388667,382600
2017,5,51.57275672657773,44.9968825849721,46.6569288934822,2017-05-01,45.80258079388667,385100
2017,6,43.595376166206535,51.1416973972573,45.7481121069065,2017-06-01,45.80258079388667,393200
2017,7,43.91792233772467,54.3687012648094,44.422450512367,2017-07-01,45.80258079388667,396400
2017,8,38.26830788292766,47.9333732806726,45.5407340032456,2017-08-01,45.80258079388667,396600
2017,9,45.633088183419865,44.7173920794819,45.3115237366154,2017-09-01,45.80258079388667,392400
2017,10,58.63374895501872,38.6022442401824,50.0025453561715,2017-10-01,45.80258079388667,394600
2017,11,43.45374517798429,40.7389327951698,46.6683804450848,2017-11-01,45.80258079388667,397100
2017,12,41.67603133695822,42.9463579031858,40.9920593305498,2017-12-01,45.80258079388667,400000
2018,1,50.27390825179389,43.1685360084075,48.7125272080325,2018-01-01,48.868945479334,396900
2018,2,55.82342039626913,44.5410170166975,50.925620185986,2018-02-01,48.868945479334,399600
2018,3,53.345550171815624,50.0020448720278,51.3499000887713,2018-03-01,48.868945479334,402200
2018,4,53.022211128614806,48.301590594633,51.3011191115688,2018-04-01,48.868945479334,403200
2018,5,46.96622052023627,55.2542531197527,48.599540229475,2018-05-01,48.868945479334,405800
2018,6,47.82078566380206,58.7092885457592,48.2224223084975,2018-06-01,48.868945479334,413300
2018,7,45.573434408077254,59.7034984216858,49.5918806540573,2018-07-01,48.868945479334,418500
2018,8,42.45762793419383,50.9941444695278,48.7065430850094,2018-08-01,48.868945479334,418600
2018,9,44.525488627511166,38.8205455481799,45.0138975884834,2018-09-01,48.868945479334,413200
2018,10,48.67085639245132,41.7322318492964,49.1501006965849,2018-10-01,48.868945479334,416600
2018,11,49.66655510993743,45.0810192438188,47.8023891932594,2018-11-01,48.868945479334,419100
2018,12,48.28128714730527,50.1191760622214,47.0514054022826,2018-12-01,48.868945479334,422700
2019,1,48.6473119688301,49.1027900586767,54.80031396567,2019-01-01,52.653787748257834,423700
2019,2,60.42423596727264,48.4212107182351,54.8018654374564,2019-02-01,52.653787748257834,427400
2019,3,48.04480024918278,46.6341346430487,52.8627757344798,2019-03-01,52.653787748257834,430100
2019,4,53.99162248408946,46.7104632536931,54.4785751133591,2019-04-01,52.653787748257834,430800
2019,5,47.96813199297544,53.6810072768872,53.8152679590093,2019-05-01,52.653787748257834,434600
2019,6,39.77272757131465,64.3453719534517,57.1244135901273,2019-06-01,52.653787748257834,443900
2019,7,53.812193989695146,62.2324027328319,52.3677447435473,2019-07-01,52.653787748257834,449400
2019,8,52.74008987851709,58.1899328060781,51.7154098748861,2019-08-01,52.653787748257834,448100
